,scan,precursormz,totalIonCurrent,injectTime,scanTime
979,15887,533.247680664063,510665.53125,305.424621582031,44.025599120817
980,15888,503.218902587891,1667513.5,126.051200866699,44.0309704848
981,15889,486.216186523438,394074.34375,399.9296875,44.033350628267
982,15890,416.221588134766,1002105.0,178.70588684082,44.040296518667
983,15891,495.758697509766,857322.25,183.794174194336,44.043553158133
984,15892,437.224914550781,15768391.0,27.551753997803,44.04692499705
985,15893,496.721313476563,196897.59375,22.0,44.047664117583
986,15895,543.243286132813,876746.0,149.112213134766,44.051204147733
987,15896,423.227386474609,2534068.75,59.255477905273,44.054026822667
988,15897,538.737487792969,608896.625,219.988327026367,44.055294172
989,15898,533.247680664063,456697.71875,241.385665893555,44.059241310133
990,15899,503.218902587891,1567639.25,86.200386047363,44.063544266383
991,15900,486.216186523438,327824.3125,309.550506591797,44.06526067465
992,15901,416.221588134766,966115.5,134.037734985352,44.070698516783
993,15902,495.758697509766,620817.25,151.421478271484,44.07321238665
994,15903,437.224914550781,15128082.0,24.788660049438,44.076014940817
995,15904,496.721313476563,445145.75,434.249450683594,44.0767092296
996,15906,543.243286132813,1248304.125,150.074020385742,44.0872412888
997,15907,423.227386474609,3171038.0,64.11173248291,44.09007981545
998,15908,538.737487792969,538038.4375,208.312301635742,44.09142935225
999,15909,533.247680664063,433585.59375,271.711029052734,44.09518090825
1000,15910,503.218902587891,1826037.375,91.659301757813,44.09998867945
1001,15911,486.216186523438,327749.25,374.028289794922,44.10179567095
1002,15912,416.221588134766,1268598.875,140.208740234375,44.108308002667
1003,15913,495.758697509766,1068363.125,205.306259155273,44.110957480533
1004,15914,437.224914550781,12354445.0,25.149614334106,44.114657854133
1005,15915,496.721313476563,569580.875,279.431762695313,44.115359717333
1006,15917,543.243286132813,1328968.25,122.169227600098,44.123141552533
1007,15918,423.227386474609,3728161.5,59.002899169922,44.12551602935
1008,15919,538.737487792969,742123.0,261.169372558594,44.12677860345
1009,15920,533.247680664063,348811.625,319.764495849609,44.131410359717
1010,15921,503.218902587891,1692500.125,88.891288757324,44.137018347983
1011,15922,486.216186523438,353395.6875,420.244201660156,44.138780575733
1012,15923,416.221588134766,1034255.0,122.561073303223,44.146096412267
1013,15924,495.758697509766,1319067.0,140.265350341797,44.1484202544
1014,15925,437.224914550781,7840929.0,27.545707702637,44.15104121545
1015,15926,496.721313476563,561605.375,248.399841308594,44.1517792408
1016,15928,543.243286132813,2489778.5,116.954208374023,44.159213997083
1017,15929,423.227386474609,3157326.25,53.073196411133,44.161500640533
1018,15930,538.737487792969,698448.1875,196.120529174805,44.162665799467
1019,15931,533.247680664063,333630.53125,398.107025146484,44.16621386775
1020,15932,503.218902587891,1520125.375,95.502197265625,44.1731283608
1021,15933,486.216186523438,480667.5625,395.622894287109,44.174998079733
1022,15934,416.221588134766,881745.875,148.114852905273,44.1819034616
1023,15935,495.758697509766,1302738.5,117.983375549316,44.184651205867
1024,15936,437.224914550781,6355358.0,33.921745300293,44.1868975496
1025,15937,496.721313476563,1150925.375,254.592422485352,44.18774228025
1026,15939,543.243286132813,2514880.75,77.001976013184,44.19527651305
1027,15940,423.227386474609,2478535.5,64.975402832031,44.196898999983
1028,15941,538.737487792969,776336.6875,233.522094726563,44.198262322383
1029,15942,533.247680664063,280430.125,471.040893554688,44.20243334695
1030,15943,503.218902587891,1571001.25,116.087448120117,44.210564196533
1031,15944,486.216186523438,1295232.25,333.881896972656,44.212788741067
1032,15945,416.221588134766,1013842.625,191.876846313477,44.21864166425
1033,15946,495.758697509766,1426701.875,132.990447998047,44.22211771145
1034,15947,437.224914550781,4680489.5,40.210319519043,44.224615972517
1035,15948,496.721313476563,739006.5,148.407196044922,44.225564829883
1036,15950,543.243286132813,3281379.0,79.138092041016,44.231331109333
1037,15951,423.227386474609,3184394.25,81.261680603027,44.232988188
1038,15952,538.737487792969,783762.5,221.265396118164,44.234623784533
1039,15953,533.247680664063,298238.625,584.412719726563,44.238590782933
1040,15954,503.218902587891,1690373.5,117.429290771484,44.248646930133
1041,15955,486.216186523438,3845429.5,139.558715820313,44.2508839032
1042,15956,416.221588134766,1340060.875,176.367736816406,44.2534896624
1043,15957,495.758697509766,1198904.875,127.906944274902,44.256709023733
1044,15958,437.224914550781,4862689.0,50.265453338623,44.259124397333
1045,15959,496.721313476563,950369.5,232.372314453125,44.2602475672
1046,15961,423.227386474609,2998888.0,76.996276855469,44.267422434133
1047,15962,538.737487792969,542512.9375,264.730041503906,44.2690437992
1048,15963,533.247680664063,300429.84375,672.071838378906,44.2737367408
1049,15964,503.218902587891,1323618.75,130.546524047852,44.2852539376
1050,15965,486.216186523438,5833776.5,65.488105773926,44.287710751983
1051,15966,416.221588134766,2289407.75,163.751861572266,44.28908255065
1052,15967,495.758697509766,722510.375,178.532012939453,44.292090384783
1053,15968,437.224914550781,2665105.25,55.173007965088,44.295346686133
1054,15969,496.721313476563,673347.25,221.483978271484,44.296545530917
1055,15971,423.227386474609,2389335.5,70.724349975586,44.303538048533
1056,15972,538.737487792969,754881.875,315.056793212891,44.305054767467
1057,15973,533.247680664063,295619.03125,555.927795410156,44.3105940088
1058,15974,503.218902587891,1271592.125,138.508239746094,44.320141287733
1059,15975,486.216186523438,6066866.0,43.498844146729,44.322730779467
1060,15976,416.221588134766,2734652.0,87.952865600586,44.32373663305
1061,15977,495.758697509766,727093.0,241.218826293945,44.325483017083
1062,15978,437.224914550781,3040181.75,77.454780578613,44.329783489867
1063,15979,496.721313476563,920390.0625,257.650634765625,44.331354049067
1064,15980,638.285278320313,1005242.5,22.0,44.335927585333
1065,15982,423.227386474609,2498258.25,84.239265441895,44.339644179733
1066,15983,538.737487792969,535715.5,228.859756469727,44.341385318933
1067,15984,533.247680664063,437782.71875,559.733703613281,44.345510676267
1068,15985,503.218902587891,1282416.25,142.424392700195,44.355119982133
1069,15986,486.216186523438,7206189.0,42.234806060791,44.357773536267
1070,15987,416.221588134766,3845128.25,75.656112670898,44.358756713333
1071,15988,495.758697509766,616730.875,237.793960571289,44.360303859467
1072,15989,437.224914550781,1492889.875,69.369857788086,44.36455048535
1073,15990,496.721313476563,716116.125,191.081924438477,44.3659834832
1074,15991,638.285278320313,998860.75,178.581924438477,44.369447473083
